iter	Logloss
0	0.6867568461
1	0.6796666463
2	0.6727840169
3	0.6658627319
4	0.6587005615
5	0.6524252319
6	0.6463657633
7	0.6395020549
8	0.6342118327
9	0.6284643555
10	0.6234280396
11	0.6180782572
12	0.6138253784
13	0.6090449015
14	0.6048840841
15	0.6004961141
16	0.5950768026
17	0.5902016195
18	0.5855085246
19	0.5803701782
20	0.5755014038
21	0.5703553263
22	0.5651269531
23	0.5609030151
24	0.5566439311
25	0.5525889587
26	0.5482660929
27	0.5440208944
28	0.5405522664
29	0.5365510559
30	0.5329397583
31	0.5298828634
32	0.5265009562
33	0.5222756958
34	0.5191935221
35	0.5164653015
36	0.5133373006
37	0.5101459757
38	0.5066872152
39	0.5037865702
40	0.5004680379
41	0.497192688
42	0.4948805237
43	0.4924869792
44	0.4893795268
45	0.4866856893
46	0.4839046733
47	0.481390686
48	0.4788431295
49	0.4762981669
50	0.474118398
51	0.4711742655
52	0.4686495972
53	0.4664551799
54	0.462772522
55	0.4596551005
56	0.4569588216
57	0.4545474243
58	0.4519281006
59	0.4502918498
60	0.4473996989
61	0.445015564
62	0.4432821655
63	0.4412822469
64	0.4394676717
65	0.4367925008
66	0.4344176229
67	0.431894989
68	0.4288282267
69	0.4263407389
70	0.4241027323
71	0.4217857361
72	0.4195555115
73	0.4173336792
74	0.4145560201
75	0.4125229645
76	0.4108016713
77	0.4084003703
78	0.406240921
79	0.4044624329
80	0.4025503286
81	0.4011688741
82	0.3992820485
83	0.3966408539
84	0.3941888682
85	0.391813736
86	0.3900877889
87	0.3886988068
88	0.3872702535
89	0.385140508
90	0.3834656779
91	0.3817207336
92	0.3803647614
93	0.3785655721
94	0.3770284017
95	0.3753780619
96	0.3742822266
97	0.3727321879
98	0.371443634
99	0.3693924713
100	0.3675881704
101	0.3661306763
102	0.3645423889
103	0.3626726532
104	0.361063029
105	0.359355367
106	0.3578738149
107	0.3569882202
108	0.3555091349
109	0.3539861552
110	0.3528408305
111	0.3516192627
112	0.3503983561
113	0.3492243958
114	0.3478861237
115	0.3468758647
116	0.3459645589
117	0.3443449402
118	0.3431178538
119	0.3419632721
120	0.3405589549
121	0.3393006388
122	0.3377026113
123	0.3363861084
124	0.3352407837
125	0.3336743164
126	0.3322572327
127	0.3312434387
128	0.330071462
129	0.3288170115
130	0.3278565725
131	0.3265140788
132	0.3253643799
133	0.3241499329
134	0.3229175313
135	0.3217462158
136	0.3209503174
137	0.3197320557
138	0.318644282
139	0.317805837
140	0.3168167114
141	0.3157125092
142	0.3148545074
143	0.313512853
144	0.3127083842
145	0.3115563711
146	0.310658493
147	0.3095034281
148	0.308348821
149	0.3073617808
150	0.3063877869
151	0.3057196045
152	0.3046381378
153	0.3038348389
154	0.3032580566
155	0.3022681173
156	0.3014491781
157	0.3002822113
158	0.2993401337
159	0.2983260091
160	0.2973597463
161	0.2962004344
162	0.2950296529
163	0.2942279307
164	0.2930983988
165	0.2922071075
166	0.2911075592
167	0.2901844788
168	0.2892405192
169	0.2882595062
170	0.2873898315
171	0.2862562052
172	0.2853325907
173	0.2845606232
174	0.2838278198
175	0.2830405426
176	0.2823347473
177	0.2814894613
178	0.280631307
179	0.2800858816
180	0.2790723674
181	0.2785592906
182	0.2774946086
183	0.2763756307
184	0.2750469716
185	0.2741600037
186	0.2735014598
187	0.2724684906
188	0.2717470296
189	0.270841217
190	0.2699514262
191	0.2693947347
192	0.2686786906
193	0.2678768667
194	0.2671261088
195	0.2663499451
196	0.2652548472
197	0.2646786245
198	0.2640790812
199	0.2633258565
200	0.2625045522
201	0.2615356445
202	0.2607030487
203	0.2599829356
204	0.2592722575
205	0.2585416667
206	0.2577609253
207	0.2570132955
208	0.2564587402
209	0.2554674784
210	0.2548898315
211	0.2542979431
212	0.2535886383
213	0.252947642
214	0.2522733053
215	0.2513238017
216	0.2505491638
217	0.250055186
218	0.2492074076
219	0.2485243734
220	0.2479171499
221	0.2470143127
222	0.2460374451
223	0.2451469421
224	0.2445167033
225	0.2440520732
226	0.2430996195
227	0.242344106
228	0.2416877747
229	0.2409203847
230	0.2396299235
231	0.2390692902
232	0.2384613546
233	0.237724177
234	0.2369377391
235	0.2361690776
236	0.2354728444
237	0.234761912
238	0.2339544423
239	0.2334296163
240	0.2328282928
241	0.2321487427
242	0.2315848796
243	0.2309705098
244	0.2301306661
245	0.2292196655
246	0.2288343811
247	0.2281680806
248	0.2273888143
249	0.2268773397
250	0.2264275614
251	0.2256996663
252	0.2249434916
253	0.2243304952
254	0.2236519368
255	0.2232070923
256	0.2225683339
257	0.2219501241
258	0.2214439646
259	0.2209303792
260	0.2201536814
261	0.2195650736
262	0.2188959757
263	0.2183609009
264	0.2175492096
265	0.2170652771
266	0.2165900421
267	0.215990092
268	0.215434672
269	0.2147489166
270	0.2142128499
271	0.2137290955
272	0.2132961146
273	0.2125401688
274	0.2121381887
275	0.2115695063
276	0.2109667206
277	0.2103278987
278	0.2098926163
279	0.2091825612
280	0.2084601212
281	0.207767868
282	0.2073157374
283	0.2068463771
284	0.2063274129
285	0.205693868
286	0.2051845042
287	0.2044716263
288	0.2038381704
289	0.203341802
290	0.2027780279
291	0.2020785141
292	0.2015217972
293	0.2009212875
294	0.2003935496
295	0.1998048655
296	0.1991315969
297	0.1987682851
298	0.198302447
299	0.1977806346
300	0.1974148941
301	0.1968799082
302	0.1961752574
303	0.1957712301
304	0.1951539358
305	0.1947886403
306	0.1942878596
307	0.1937306722
308	0.19325044
309	0.1928442891
310	0.1923848089
311	0.1917839559
312	0.1912448374
313	0.1907195155
314	0.1902750905
315	0.1896865336
316	0.1892764028
317	0.1888057454
318	0.1881966019
319	0.1877480316
320	0.1872985586
321	0.1866519674
322	0.1862748973
323	0.1857275263
324	0.1850983938
325	0.1844495138
326	0.183627243
327	0.183159434
328	0.1826536051
329	0.1820015971
330	0.1815788778
331	0.1811686707
332	0.1807700857
333	0.1798654302
334	0.1792782338
335	0.1786779022
336	0.1782897568
337	0.1777375031
338	0.1772686513
339	0.1770139186
340	0.1764226023
341	0.1759535344
342	0.1753668467
343	0.17496315
344	0.1746757762
345	0.1742211914
346	0.1737674713
347	0.1733612569
348	0.172959137
349	0.1725541433
350	0.1720677058
351	0.1715569687
352	0.1711092377
353	0.1705720011
354	0.1701040904
355	0.1698546219
356	0.1693556722
357	0.1688380941
358	0.1686871847
359	0.1683757528
360	0.1680358887
361	0.1676915868
362	0.1672333018
363	0.166846199
364	0.166337204
365	0.1658838399
366	0.1653053538
367	0.164705073
368	0.164288915
369	0.1639260356
370	0.1635153198
371	0.1632736206
372	0.1629390208
373	0.1625627009
374	0.1621866735
375	0.1618810781
376	0.1614980443
377	0.1611963018
378	0.160756073
379	0.1603863017
380	0.1599435806
381	0.15952624
382	0.1592386119
383	0.1588432821
384	0.158311971
385	0.1578435262
386	0.157439092
387	0.157081871
388	0.1566490428
389	0.156394132
390	0.1560724767
391	0.1556403351
392	0.1552672831
393	0.1549635442
394	0.1546185048
395	0.1542182414
396	0.1538657125
397	0.1532158661
398	0.1528712718
399	0.1523905691
400	0.1519719442
401	0.1515369161
402	0.1511993663
403	0.1507914225
404	0.1503812663
405	0.1499216207
406	0.1494999441
407	0.1490456136
408	0.1484972254
409	0.1480791346
410	0.1475332896
411	0.1469929504
412	0.1465896479
413	0.1461641184
414	0.1458197021
415	0.1455035528
416	0.1451180649
417	0.1445837275
